Timestamp,Rank your movie choices. You don't have to do a full ranking. [First Choice],Rank your movie choices. You don't have to do a full ranking. [Second Choice],Rank your movie choices. You don't have to do a full ranking. [Third Choice],What theme should we explore next week? [First Choice],What theme should we explore next week? [Second Choice],What theme should we explore next week? [Third Choice],What theme should we explore next week? [Fourth Choice]
30/06/2021 04:20:35,Umberto D (1952),Dunston Checks In (1996),Black Stallion (1979),BAD PARENTING,IT WAS THE 90'S!,LIVING LIFE A QUARTER MILE AT A TIME,[Default to Nicolas Cage]
30/06/2021 05:53:33,Umberto D (1952),Black Stallion (1979),Dunston Checks In (1996),IT WAS THE 90'S!,[Default to Nicolas Cage],BAD PARENTING,LIVING LIFE A QUARTER MILE AT A TIME
30/06/2021 14:13:16,Dunston Checks In (1996),Black Stallion (1979),Umberto D (1952),LIVING LIFE A QUARTER MILE AT A TIME,IT WAS THE 90'S!,BAD PARENTING,[Default to Nicolas Cage]
30/06/2021 21:02:24,Black Stallion (1979),Umberto D (1952),Dunston Checks In (1996),BAD PARENTING,IT WAS THE 90'S!,LIVING LIFE A QUARTER MILE AT A TIME,[Default to Nicolas Cage]
01/07/2021 23:11:48,Black Stallion (1979),Dunston Checks In (1996),Umberto D (1952),IT WAS THE 90'S!,BAD PARENTING,LIVING LIFE A QUARTER MILE AT A TIME,[Default to Nicolas Cage]
