Timestamp,Rank your movie choices. You don't have to do a full ranking. [First Choice],Rank your movie choices. You don't have to do a full ranking. [Second Choice],Rank your movie choices. You don't have to do a full ranking. [Third Choice],What theme should we explore next week? [First Choice],What theme should we explore next week? [Second Choice],What theme should we explore next week? [Third Choice],What theme should we explore next week? [Fourth Choice]
09/11/2021 19:45:32,Beau Travail (1999),Shame (2011),,SECRET SOCIETIES,SAD GIRL AUTUMN,DOCUMENTARY,[Default to Trish Pic]
09/11/2021 21:27:41,Shame (2011),Beau Travail (1999),Y Tu Mamá También (2001),SAD GIRL AUTUMN,DOCUMENTARY,SECRET SOCIETIES,[Default to Trish Pic]
10/11/2021 07:01:47,Y Tu Mamá También (2001),Shame (2011),Beau Travail (1999),SAD GIRL AUTUMN,SECRET SOCIETIES,[Default to Trish Pic],DOCUMENTARY
10/11/2021 19:20:14,Y Tu Mamá También (2001),Beau Travail (1999),Shame (2011),SECRET SOCIETIES,DOCUMENTARY,,
