Timestamp,What theme should we explore next week? [First Choice],What theme should we explore next week? [Second Choice],What theme should we explore next week? [Third Choice],What theme should we explore next week? [Fourth Choice],What theme should we explore next week? [Fifth Choice],What theme should we explore next week? [Sixth Choice]
24/10/2021 13:57:51,OOPS! ALL CRONENBERG,HALLOWEEN OBVIOUSLY,HORROR-COMEDY,LONERS,[Default to Trish Pic],OOPS! ALL ZACK BRAFF
24/10/2021 13:58:05,HALLOWEEN OBVIOUSLY,HORROR-COMEDY,LONERS,OOPS! ALL CRONENBERG,[Default to Trish Pic],OOPS! ALL ZACK BRAFF
24/10/2021 14:29:14,OOPS! ALL CRONENBERG,LONERS,HORROR-COMEDY,[Default to Trish Pic],HALLOWEEN OBVIOUSLY,OOPS! ALL ZACK BRAFF
24/10/2021 14:57:02,HALLOWEEN OBVIOUSLY,HORROR-COMEDY,OOPS! ALL ZACK BRAFF,OOPS! ALL CRONENBERG,LONERS,[Default to Trish Pic]
24/10/2021 16:32:20,OOPS! ALL ZACK BRAFF,LONERS,,,,
24/10/2021 16:40:30,HALLOWEEN OBVIOUSLY,HORROR-COMEDY,[Default to Trish Pic],,,
24/10/2021 17:18:18,HORROR-COMEDY,HALLOWEEN OBVIOUSLY,LONERS,OOPS! ALL CRONENBERG,[Default to Trish Pic],
