Timestamp,Rank your movie choices. You don't have to do a full ranking. [First Choice],Rank your movie choices. You don't have to do a full ranking. [Second Choice],Rank your movie choices. You don't have to do a full ranking. [Third Choice],Rank your movie choices. You don't have to do a full ranking. [Fourth Choice],Rank your movie choices. You don't have to do a full ranking. [Fifth Choice],Rank your movie choices. You don't have to do a full ranking. [Sixth Choice],Rank your movie choices. You don't have to do a full ranking. [Seventh Choice],What theme should we explore next week? [First Choice],What theme should we explore next week? [Second Choice],What theme should we explore next week? [Third Choice],What theme should we explore next week? [Fourth Choice],What theme should we explore next week? [Fifth Choice],What theme should we explore next week? [Sixth Choice],What theme should we explore next week? [Seventh Choice],What theme should we explore next week? [Eighth Choice]
9/8/2020 8:04:20,Killer of Sheep,Edge of the Knife,Losing Ground,Bury The Hatchet,Basquiat,Poetic Justice,,COLOUR IN THE TITLE,PROTESTANTS: FRIEND OR FOE,FEAR OF THE FEMININE,FOOD,TOTALLY SPIES,MARIJUANO IS AN ILLEGAL NARCOTIC,PLANTS: FRIEND OR FOE?,No Theme/Free-for-all
9/8/2020 8:30:18,Edge of the Knife,Killer of Sheep,Poetic Justice,Basquiat,Sorry to Bother You,Bury The Hatchet,Losing Ground,FOOD,PLANTS: FRIEND OR FOE?,PROTESTANTS: FRIEND OR FOE,TOTALLY SPIES,COLOUR IN THE TITLE,FEAR OF THE FEMININE,MARIJUANO IS AN ILLEGAL NARCOTIC,
9/8/2020 10:03:19,Bury The Hatchet,Poetic Justice,Sorry to Bother You,Losing Ground,Edge of the Knife,Killer of Sheep,Basquiat,PROTESTANTS: FRIEND OR FOE,TOTALLY SPIES,PLANTS: FRIEND OR FOE?,MARIJUANO IS AN ILLEGAL NARCOTIC,FOOD,FEAR OF THE FEMININE,COLOUR IN THE TITLE,No Theme/Free-for-all
9/8/2020 10:12:09,Bury The Hatchet,Edge of the Knife,Sorry to Bother You,Poetic Justice,Losing Ground,,,TOTALLY SPIES,COLOUR IN THE TITLE,PROTESTANTS: FRIEND OR FOE,FEAR OF THE FEMININE,FOOD,PLANTS: FRIEND OR FOE?,MARIJUANO IS AN ILLEGAL NARCOTIC,
9/8/2020 20:45:46,Poetic Justice,Edge of the Knife,Bury The Hatchet,Basquiat,Killer of Sheep,Sorry to Bother You,Losing Ground,COLOUR IN THE TITLE,FOOD,FEAR OF THE FEMININE,PROTESTANTS: FRIEND OR FOE,TOTALLY SPIES,PLANTS: FRIEND OR FOE?,MARIJUANO IS AN ILLEGAL NARCOTIC,No Theme/Free-for-all
9/9/2020 8:43:53,Poetic Justice,Sorry to Bother You,Bury The Hatchet,Killer of Sheep,Edge of the Knife,Basquiat,Losing Ground,PLANTS: FRIEND OR FOE?,FEAR OF THE FEMININE,MARIJUANO IS AN ILLEGAL NARCOTIC,FOOD,TOTALLY SPIES,PROTESTANTS: FRIEND OR FOE,COLOUR IN THE TITLE,No Theme/Free-for-all
9/9/2020 10:16:41,Basquiat,Edge of the Knife,Sorry to Bother You,Bury The Hatchet,Killer of Sheep,Losing Ground,Poetic Justice,PROTESTANTS: FRIEND OR FOE,MARIJUANO IS AN ILLEGAL NARCOTIC,FEAR OF THE FEMININE,COLOUR IN THE TITLE,FOOD,PLANTS: FRIEND OR FOE?,TOTALLY SPIES,No Theme/Free-for-all
